pincode,city,koo,sta,state,ko,ui,cou,lt,lon,ui
134411,"West Siang",4024,AR,"Arunachal Pradesh",101,IN,India,28.40000000,94.55000000,Q15453
134444,Ziro,4024,AR,"Arunachal Pradesh",101,IN,India,27.59497000,93.83854000,Q663062
57585,Abhayapuri,4027,AS,Assam,101,IN,India,26.32255000,90.68526000,Q490701
57679,Amguri,4027,AS,Assam,101,IN,India,26.81482000,94.52614000,Q585858
57787,Badarpur,4027,AS,Assam,101,IN,India,24.86852000,92.59606000,Q2563426
57820,Baksa,4027,AS,Assam,101,IN,India,26.69804000,91.15142000,Q622831
57883,Barpathar,4027,AS,Assam,101,IN,India,26.28709000,93.88844000,Q707805
57884,Barpeta,4027,AS,Assam,101,IN,India,26.47104000,91.03080000,Q41249
57885,"Barpeta Road",4027,AS,Assam,101,IN,India,26.50284000,90.96937000,Q712460
58150,Basugaon,4027,AS,Assam,101,IN,India,26.46742000,90.41951000,Q712428
58028,Bihpuriagaon,4027,AS,Assam,101,IN,India,27.01718000,93.91673000,Q796775
58034,Bijni,4027,AS,Assam,101,IN,India,26.49588000,90.70298000,Q797126
58053,Bilasipara,4027,AS,Assam,101,IN,India,26.23285000,90.23410000,Q795803
58075,Bokajan,4027,AS,Assam,101,IN,India,26.02131000,93.77945000,Q633816
58077,Bokakhat,4027,AS,Assam,101,IN,India,26.64018000,93.60052000,Q859160
58081,Bongaigaon,4027,AS,Assam,101,IN,India,26.46030000,90.64640000,Q42197
131634,Cachar,4027,AS,Assam,101,IN,India,24.78213000,92.85771000,Q42209
131588,Chabua,4027,AS,Assam,101,IN,India,27.48253000,95.17451000,Q861884
131604,Chapar,4027,AS,Assam,101,IN,India,26.27266000,90.44556000,Q2733320
131568,Chirang,4027,AS,Assam,101,IN,India,26.52527000,90.49066000,Q2574898
131657,Darrang,4027,AS,Assam,101,IN,India,26.51195000,92.16843000,Q42461
131695,Dergaon,4027,AS,Assam,101,IN,India,26.70000000,93.96667000,Q1189812
131732,Dhekiajuli,4027,AS,Assam,101,IN,India,26.70367000,92.47808000,Q1258219
131733,Dhemaji,4027,AS,Assam,101,IN,India,27.60910000,94.79420000,Q42473
131737,Dhing,4027,AS,Assam,101,IN,India,26.46793000,92.47336000,Q1259385
131744,Dhubri,4027,AS,Assam,101,IN,India,26.06749000,90.02238000,Q1265559
131762,Dibrugarh,4027,AS,Assam,101,IN,India,27.50000000,95.00000000,Q42479
131766,Digboi,4027,AS,Assam,101,IN,India,27.39321000,95.61839000,Q1267577
131770,"Dima Hasao District",4027,AS,Assam,101,IN,India,25.50000000,93.00000000,Q42774
131776,Diphu,4027,AS,Assam,101,IN,India,25.84341000,93.43116000,Q1227167
131778,Dispur,4027,AS,Assam,101,IN,India,26.13564000,91.80069000,Q271911
131795,Duliagaon,4027,AS,Assam,101,IN,India,27.37227000,95.30754000,Q1387263
131796,"Dum Duma",4027,AS,Assam,101,IN,India,27.56884000,95.55664000,Q1387064
131928,Gauripur,4027,AS,Assam,101,IN,India,26.08334000,89.96118000,Q279871
132004,Goalpara,4027,AS,Assam,101,IN,India,26.12791000,90.60974000,Q42522
131967,Gohpur,4027,AS,Assam,101,IN,India,26.88184000,93.61560000,Q1708616
131976,Golaghat,4027,AS,Assam,101,IN,India,26.40920000,93.91193000,Q42517
